"Section","# of tickets (>=0)","Price Range","Type"
"GAFLR2","429","$39.5","primary"
"GAFLR3","250","$39.5","primary"
"GAFLR1","142","$139.5","primary"
"GAFLR1","70","$214.5","primary"
"300","37","$59.5","primary"
"208","28","$49.5","primary"
"400","25","$59.5","primary"
"200","25","$49.5","primary"
"206","15","$90","primary"
"200","14","$69.5","primary"
"208","11","$69.5","primary"
"206","8","$69.5","primary"
"204","8","$69.5","primary"
"204","8","$110","primary"
"202","8","$90","primary"
"202","8","$59.5","primary"
"200","6","$59.5","primary"
"GAFLR1","4","$789.5","primary"
"208","4","$59.5","primary"
"204","4","$150","primary"
"206","3","$69.5","primary"
"206","3","$59.5","primary"
"202","3","$69.5","primary"
"208","2","$69.5","primary"
"204","2","$130","primary"
"202","2","$69.5","primary"
