"Section","# of tickets (>=0)","Price Range","Type"
"LCTR","210","$79.5","primary"
"RCTR","182","$79.5","primary"
"RWING","94","$59.5","primary"
"LWING","59","$59.5","primary"
"RCTR","55","$59.5","primary"
"RWING","50","$79.5","primary"
"LCTR","44","$59.5","primary"
"LCTR","41","$89.5","primary"
"RCTR","40","$89.5","primary"
"RWING","35","$89.5","primary"
"LCTR","35","$250","primary"
"RCTR","34","$250","primary"
"LWING","32","$79.5","primary"
"LWING","11","$89.5","primary"
"RCTR","6","$379","primary"
"RCTR","6","$329","primary"
"RCTR","6","$279","primary"
"LCTR","6","$329","primary"
"RCTR","4","$529","primary"
"LCTR","4","$379","primary"
"LCTR","2","$309","primary"
