"Section","# of tickets (>=0)","Price Range","Type"
"G","96","$39","primary"
"H","94","$39","primary"
"E","94","$39","primary"
"D","94","$39","primary"
"F","79","$39","primary"
"A","68","$49","primary"
"E","48","$59","primary"
"G","46","$59","primary"
"C","46","$49","primary"
"C","38","$59","primary"
"A","36","$59","primary"
"G","24","$49","primary"
"E","24","$49","primary"
"F","20","$59","primary"
"B","19","$79","primary"
"F","16","$49","primary"
"H","12","$59","primary"
"D","12","$59","primary"
"H","8","$49","primary"
"D","8","$49","primary"
"C","5","$79","primary"
"A","4","$79","primary"
