"Section","# of tickets (>=0)","Price Range","Type"
"LCTR","162","$79.5","primary"
"RCTR","142","$79.5","primary"
"RWING","66","$59.5","primary"
"LWING","41","$59.5","primary"
"RCTR","40","$250","primary"
"RWING","32","$79.5","primary"
"RWING","19","$89.5","primary"
"LCTR","19","$89.5","primary"
"LWING","17","$79.5","primary"
"LCTR","16","$250","primary"
"LCTR","7","$59.5","primary"
"RCTR","6","$89.5","primary"
"RCTR","6","$59.5","primary"
"LCTR","6","$329","primary"
"RCTR","4","$379","primary"
"RCTR","4","$329","primary"
"LCTR","4","$379","primary"
"LCTR","4","$309","primary"
"RCTR","2","$699","primary"
"RCTR","1","$279","primary"
"LWING","1","$89.5","primary"
