"Section","# of tickets (>=0)","Price Range","Type"
"LCTR","208","$79.5","primary"
"RCTR","180","$79.5","primary"
"RWING","94","$59.5","primary"
"LWING","57","$59.5","primary"
"RCTR","53","$59.5","primary"
"RWING","50","$79.5","primary"
"LCTR","44","$59.5","primary"
"LCTR","39","$89.5","primary"
"RCTR","38","$89.5","primary"
"LCTR","35","$250","primary"
"RCTR","34","$250","primary"
"RWING","29","$89.5","primary"
"LWING","28","$79.5","primary"
"LWING","11","$89.5","primary"
"RCTR","6","$379","primary"
"RCTR","6","$329","primary"
"RCTR","6","$279","primary"
"LCTR","6","$329","primary"
"RCTR","4","$529","primary"
"LCTR","4","$379","primary"
"LCTR","2","$309","primary"
