"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","769","$69.5","primary"
"SKYBAR","107","$49.5","primary"
"210","71","$49.5","primary"
"209","71","$49.5","primary"
"208","30","$49.5","primary"
"FLOOR","25","$69.5","primary"
"LOG203","20","$99.5","primary"
"207","16","$49.5","primary"
"FLOOR","14","$99 - $108","resale"
"LOG202","14","$99.5","primary"
"LOG204","12","$99.5","primary"
"LOG201","12","$99.5","primary"
"LOG204","6","$144.5","primary"
"206","6","$49.5","primary"
"206","6","$94","resale"
"205","6","$49.5","primary"
"LOG204","5","$99.5","primary"
"LOG202","5","$99.5","primary"
"SKYBAR","4","$87","resale"
"207","4","$49.5","primary"
"205","4","$139","resale"
"LOG201","3","$183.25","primary"
"206","3","$49.5","primary"
"206","3","$70","resale"
"LOG203","2","$173.75","primary"
"LOG203","2","$99.51","resale"
"LOG201","2","$164","primary"
"208","2","$91","resale"
"206","2","$90","resale"
"205","2","$143","resale"
"205","2","$141","resale"
"205","2","$49.5","primary"
"205","2","$141","resale"
"205","2","$118","resale"
